"Scope";"Hypothese";"N";"Estimate";"Std_Error";"Z_Value";"P_Value";"Sig";"Entscheidung"
"Low Involvement";"H5 (Performance)";1207;"3,74209";"0,14425";"25,94222";"2,2259e-148";"***";"H1 ANGENOMMEN"
"High Involvement";"H5 (Performance)";634;"3,36555";"0,17936";"18,76475";" 1,4669e-78";"***";"H1 ANGENOMMEN"
"Gesamtmarkt (Total)";"H5 (Performance)";1841;"3,65336";"0,11691";"31,24835";"2,3510e-214";"***";"H1 ANGENOMMEN"
